port,TCP,TCPflag,UDP
252,Cerrado,RA,Cerrado
253,Cerrado,RA,Cerrado
254,Cerrado,RA,Cerrado
255,Cerrado,RA,Cerrado
256,Cerrado,RA,Cerrado
257,Cerrado,RA,Cerrado
258,Cerrado,RA,Cerrado
259,Cerrado,RA,Cerrado
260,Cerrado,RA,Cerrado
261,Cerrado,RA,Cerrado
262,Cerrado,RA,Cerrado
263,Cerrado,RA,Cerrado
264,Cerrado,RA,Cerrado
265,Cerrado,RA,Cerrado
266,Cerrado,RA,Cerrado
267,Cerrado,RA,Cerrado
268,Cerrado,RA,Cerrado
269,Cerrado,RA,Cerrado
270,Cerrado,RA,Cerrado
271,Cerrado,RA,Cerrado
272,Cerrado,RA,Cerrado
273,Cerrado,RA,Cerrado
274,Cerrado,RA,Cerrado
275,Cerrado,RA,Cerrado
276,Cerrado,RA,Cerrado
277,Cerrado,RA,Cerrado
278,Cerrado,RA,Cerrado
279,Cerrado,RA,Cerrado
280,Cerrado,RA,Cerrado
281,Cerrado,RA,Cerrado
282,Cerrado,RA,Cerrado
283,Cerrado,RA,Cerrado
284,Cerrado,RA,Cerrado
285,Cerrado,RA,Cerrado
286,Cerrado,RA,Cerrado
287,Cerrado,RA,Cerrado
288,Cerrado,RA,Cerrado
289,Cerrado,RA,Cerrado
290,Cerrado,RA,Cerrado
291,Cerrado,RA,Cerrado
292,Cerrado,RA,Cerrado
293,Cerrado,RA,Cerrado
294,Cerrado,RA,Cerrado
295,Cerrado,RA,Cerrado
296,Cerrado,RA,Cerrado
297,Cerrado,RA,Cerrado
298,Cerrado,RA,Cerrado
299,Cerrado,RA,Cerrado
300,Cerrado,RA,Cerrado
301,Cerrado,RA,Cerrado
302,Cerrado,RA,Cerrado
303,Cerrado,RA,Cerrado
304,Cerrado,RA,Cerrado
305,Cerrado,RA,Cerrado
306,Cerrado,RA,Cerrado
307,Cerrado,RA,Cerrado
308,Cerrado,RA,Cerrado
309,Cerrado,RA,Cerrado
310,Cerrado,RA,Cerrado
311,Cerrado,RA,Cerrado
312,Cerrado,RA,Cerrado
313,Cerrado,RA,Cerrado
314,Cerrado,RA,Cerrado
315,Cerrado,RA,Cerrado
316,Cerrado,RA,Cerrado
317,Cerrado,RA,Cerrado
318,Cerrado,RA,Cerrado
319,Cerrado,RA,Abierto | Filtrado
320,Cerrado,RA,Abierto | Filtrado
321,Cerrado,RA,Cerrado
322,Cerrado,RA,Cerrado
323,Cerrado,RA,Cerrado
324,Cerrado,RA,Cerrado
325,Cerrado,RA,Cerrado
326,Cerrado,RA,Cerrado
327,Cerrado,RA,Cerrado
328,Cerrado,RA,Cerrado
329,Cerrado,RA,Cerrado
330,Cerrado,RA,Cerrado
331,Cerrado,RA,Cerrado
332,Cerrado,RA,Cerrado
333,Cerrado,RA,Cerrado
334,Cerrado,RA,Cerrado
335,Cerrado,RA,Cerrado
336,Cerrado,RA,Cerrado
337,Cerrado,RA,Cerrado
338,Cerrado,RA,Cerrado
339,Cerrado,RA,Cerrado
340,Cerrado,RA,Cerrado
341,Cerrado,RA,Cerrado
342,Cerrado,RA,Cerrado
343,Cerrado,RA,Cerrado
344,Cerrado,RA,Cerrado
345,Cerrado,RA,Cerrado
346,Cerrado,RA,Cerrado
347,Cerrado,RA,Cerrado
348,Cerrado,RA,Cerrado
349,Cerrado,RA,Cerrado
350,Cerrado,RA,Cerrado
351,Cerrado,RA,Cerrado
352,Cerrado,RA,Cerrado
353,Cerrado,RA,Cerrado
354,Cerrado,RA,Cerrado
355,Cerrado,RA,Cerrado
356,Cerrado,RA,Cerrado
357,Cerrado,RA,Cerrado
358,Cerrado,RA,Cerrado
359,Cerrado,RA,Cerrado
360,Cerrado,RA,Cerrado
361,Cerrado,RA,Cerrado
362,Cerrado,RA,Cerrado
363,Cerrado,RA,Cerrado
364,Cerrado,RA,Cerrado
365,Cerrado,RA,Cerrado
366,Cerrado,RA,Cerrado
367,Cerrado,RA,Cerrado
368,Cerrado,RA,Cerrado
369,Cerrado,RA,Cerrado
370,Cerrado,RA,Cerrado
371,Cerrado,RA,Cerrado
372,Cerrado,RA,Cerrado
373,Cerrado,RA,Cerrado
374,Cerrado,RA,Cerrado
375,Cerrado,RA,Cerrado
376,Cerrado,RA,Cerrado
377,Cerrado,RA,Cerrado
378,Cerrado,RA,Cerrado
379,Cerrado,RA,Cerrado
380,Cerrado,RA,Cerrado
381,Cerrado,RA,Cerrado
382,Cerrado,RA,Cerrado
383,Cerrado,RA,Cerrado
384,Cerrado,RA,Cerrado
385,Cerrado,RA,Cerrado
386,Cerrado,RA,Cerrado
387,Cerrado,RA,Cerrado
388,Cerrado,RA,Cerrado
389,Cerrado,RA,Cerrado
390,Cerrado,RA,Cerrado
391,Cerrado,RA,Cerrado
392,Cerrado,RA,Cerrado
393,Cerrado,RA,Cerrado
394,Cerrado,RA,Cerrado
395,Cerrado,RA,Cerrado
396,Cerrado,RA,Cerrado
397,Cerrado,RA,Cerrado
398,Cerrado,RA,Cerrado
399,Cerrado,RA,Cerrado
400,Cerrado,RA,Cerrado
401,Cerrado,RA,Cerrado
402,Cerrado,RA,Cerrado
403,Cerrado,RA,Cerrado
404,Cerrado,RA,Cerrado
405,Cerrado,RA,Cerrado
406,Cerrado,RA,Cerrado
407,Cerrado,RA,Cerrado
408,Cerrado,RA,Cerrado
409,Cerrado,RA,Cerrado
410,Cerrado,RA,Cerrado
411,Cerrado,RA,Cerrado
412,Cerrado,RA,Cerrado
413,Cerrado,RA,Cerrado
414,Cerrado,RA,Cerrado
415,Cerrado,RA,Cerrado
416,Cerrado,RA,Cerrado
417,Cerrado,RA,Cerrado
418,Cerrado,RA,Cerrado
419,Cerrado,RA,Cerrado
420,Cerrado,RA,Cerrado
421,Cerrado,RA,Cerrado
422,Cerrado,RA,Cerrado
423,Cerrado,RA,Cerrado
424,Cerrado,RA,Cerrado
425,Cerrado,RA,Cerrado
426,Cerrado,RA,Cerrado
427,Cerrado,RA,Cerrado
428,Cerrado,RA,Cerrado
429,Cerrado,RA,Cerrado
430,Cerrado,RA,Cerrado
431,Cerrado,RA,Cerrado
432,Cerrado,RA,Cerrado
433,Cerrado,RA,Cerrado
434,Cerrado,RA,Cerrado
435,Cerrado,RA,Cerrado
436,Cerrado,RA,Abierto | Filtrado
437,Cerrado,RA,Cerrado
438,Cerrado,RA,Cerrado
439,Cerrado,RA,Cerrado
440,Cerrado,RA,Cerrado
441,Cerrado,RA,Cerrado
442,Cerrado,RA,Cerrado
443,Cerrado,RA,Cerrado
444,Cerrado,RA,Cerrado
445,Filtrado,none,Abierto | Filtrado
446,Cerrado,RA,Cerrado
447,Cerrado,RA,Cerrado
448,Cerrado,RA,Cerrado
449,Cerrado,RA,Cerrado
450,Cerrado,RA,Cerrado
451,Cerrado,RA,Cerrado
452,Cerrado,RA,Cerrado
453,Cerrado,RA,Cerrado
454,Cerrado,RA,Cerrado
455,Cerrado,RA,Cerrado
456,Cerrado,RA,Cerrado
457,Cerrado,RA,Cerrado
458,Cerrado,RA,Cerrado
459,Cerrado,RA,Cerrado
460,Cerrado,RA,Cerrado
461,Cerrado,RA,Cerrado
462,Cerrado,RA,Cerrado
463,Cerrado,RA,Cerrado
464,Cerrado,RA,Cerrado
465,Cerrado,RA,Cerrado
466,Cerrado,RA,Cerrado
467,Cerrado,RA,Cerrado
468,Cerrado,RA,Cerrado
469,Cerrado,RA,Cerrado
470,Cerrado,RA,Cerrado
471,Cerrado,RA,Cerrado
472,Cerrado,RA,Cerrado
473,Cerrado,RA,Cerrado
474,Cerrado,RA,Cerrado
475,Cerrado,RA,Cerrado
476,Cerrado,RA,Cerrado
477,Cerrado,RA,Cerrado
478,Cerrado,RA,Cerrado
479,Cerrado,RA,Cerrado
480,Cerrado,RA,Cerrado
481,Cerrado,RA,Cerrado
482,Cerrado,RA,Cerrado
483,Cerrado,RA,Cerrado
484,Cerrado,RA,Cerrado
485,Cerrado,RA,Cerrado
486,Cerrado,RA,Cerrado
487,Cerrado,RA,Cerrado
488,Cerrado,RA,Cerrado
489,Cerrado,RA,Cerrado
490,Cerrado,RA,Cerrado
491,Cerrado,RA,Cerrado
492,Cerrado,RA,Cerrado
493,Cerrado,RA,Cerrado
494,Cerrado,RA,Cerrado
495,Cerrado,RA,Cerrado
496,Cerrado,RA,Cerrado
497,Cerrado,RA,Cerrado
498,Cerrado,RA,Cerrado
499,Cerrado,RA,Cerrado
500,Cerrado,RA,Cerrado
501,Cerrado,RA,Cerrado
502,Cerrado,RA,Cerrado
503,Cerrado,RA,Cerrado
504,Cerrado,RA,Cerrado
505,Cerrado,RA,Cerrado
506,Cerrado,RA,Cerrado
507,Cerrado,RA,Cerrado
508,Cerrado,RA,Cerrado
509,Cerrado,RA,Cerrado
510,Cerrado,RA,Cerrado
511,Cerrado,RA,Cerrado
512,Cerrado,RA,Cerrado
513,Cerrado,RA,Cerrado
514,Filtrado,none,Abierto | Filtrado
515,Cerrado,RA,Cerrado
516,Cerrado,RA,Cerrado
517,Cerrado,RA,Cerrado
518,Cerrado,RA,Cerrado
519,Cerrado,RA,Cerrado
520,Cerrado,RA,Cerrado
521,Cerrado,RA,Cerrado
522,Cerrado,RA,Cerrado
523,Cerrado,RA,Cerrado
524,Cerrado,RA,Cerrado
525,Cerrado,RA,Cerrado
526,Cerrado,RA,Cerrado
527,Cerrado,RA,Cerrado
528,Cerrado,RA,Cerrado
529,Cerrado,RA,Cerrado
530,Cerrado,RA,Cerrado
531,Cerrado,RA,Cerrado
532,Cerrado,RA,Cerrado
533,Cerrado,RA,Cerrado
534,Cerrado,RA,Cerrado
535,Cerrado,RA,Cerrado
536,Cerrado,RA,Cerrado
537,Cerrado,RA,Cerrado
538,Cerrado,RA,Cerrado
539,Cerrado,RA,Cerrado
