port,TCP,TCPflag,UDP
223,Filtrado,none,Abierto | Filtrado
224,Filtrado,none,Abierto | Filtrado
225,Filtrado,none,Abierto | Filtrado
226,Filtrado,none,Abierto | Filtrado
227,Filtrado,none,Abierto | Filtrado
228,Filtrado,none,Abierto | Filtrado
229,Filtrado,none,Abierto | Filtrado
230,Filtrado,none,Abierto | Filtrado
231,Filtrado,none,Abierto | Filtrado
232,Filtrado,none,Abierto | Filtrado
233,Filtrado,none,Abierto | Filtrado
234,Filtrado,none,Abierto | Filtrado
235,Filtrado,none,Abierto | Filtrado
236,Filtrado,none,Abierto | Filtrado
237,Filtrado,none,Abierto | Filtrado
238,Filtrado,none,Abierto | Filtrado
239,Filtrado,none,Abierto | Filtrado
240,Filtrado,none,Abierto | Filtrado
241,Filtrado,none,Abierto | Filtrado
242,Filtrado,none,Abierto | Filtrado
243,Filtrado,none,Abierto | Filtrado
244,Filtrado,none,Abierto | Filtrado
245,Filtrado,none,Abierto | Filtrado
246,Filtrado,none,Abierto | Filtrado
247,Filtrado,none,Abierto | Filtrado
248,Filtrado,none,Abierto | Filtrado
249,Filtrado,none,Abierto | Filtrado
250,Filtrado,none,Abierto | Filtrado
251,Filtrado,none,Abierto | Filtrado
252,Filtrado,none,Abierto | Filtrado
253,Filtrado,none,Abierto | Filtrado
254,Filtrado,none,Abierto | Filtrado
255,Filtrado,none,Abierto | Filtrado
256,Filtrado,none,Abierto | Filtrado
257,Filtrado,none,Abierto | Filtrado
258,Filtrado,none,Abierto | Filtrado
259,Filtrado,none,Abierto | Filtrado
260,Filtrado,none,Abierto | Filtrado
261,Filtrado,none,Abierto | Filtrado
262,Filtrado,none,Abierto | Filtrado
263,Filtrado,none,Abierto | Filtrado
264,Filtrado,none,Abierto | Filtrado
265,Filtrado,none,Abierto | Filtrado
266,Filtrado,none,Abierto | Filtrado
267,Filtrado,none,Abierto | Filtrado
268,Filtrado,none,Abierto | Filtrado
269,Filtrado,none,Abierto | Filtrado
270,Filtrado,none,Abierto | Filtrado
271,Filtrado,none,Abierto | Filtrado
272,Filtrado,none,Abierto | Filtrado
273,Filtrado,none,Abierto | Filtrado
274,Filtrado,none,Abierto | Filtrado
275,Filtrado,none,Abierto | Filtrado
276,Filtrado,none,Abierto | Filtrado
277,Filtrado,none,Abierto | Filtrado
278,Filtrado,none,Abierto | Filtrado
279,Filtrado,none,Abierto | Filtrado
280,Filtrado,none,Abierto | Filtrado
281,Filtrado,none,Abierto | Filtrado
282,Filtrado,none,Abierto | Filtrado
283,Filtrado,none,Abierto | Filtrado
284,Filtrado,none,Abierto | Filtrado
285,Filtrado,none,Abierto | Filtrado
286,Filtrado,none,Abierto | Filtrado
287,Filtrado,none,Abierto | Filtrado
288,Filtrado,none,Abierto | Filtrado
289,Filtrado,none,Abierto | Filtrado
290,Filtrado,none,Abierto | Filtrado
291,Filtrado,none,Abierto | Filtrado
292,Filtrado,none,Abierto | Filtrado
293,Filtrado,none,Abierto | Filtrado
