port,TCP,TCPflag,UDP
288,Filtrado,none,Cerrado
289,Filtrado,none,Cerrado
290,Filtrado,none,Cerrado
291,Filtrado,none,Cerrado
292,Filtrado,none,Cerrado
293,Filtrado,none,Cerrado
294,Filtrado,none,Cerrado
295,Filtrado,none,Cerrado
296,Filtrado,none,Cerrado
297,Filtrado,none,Cerrado
298,Filtrado,none,Cerrado
299,Filtrado,none,Cerrado
300,Filtrado,none,Cerrado
301,Filtrado,none,Cerrado
302,Filtrado,none,Cerrado
303,Filtrado,none,Cerrado
304,Filtrado,none,Cerrado
305,Filtrado,none,Cerrado
306,Filtrado,none,Cerrado
307,Filtrado,none,Cerrado
308,Filtrado,none,Cerrado
309,Filtrado,none,Cerrado
310,Filtrado,none,Cerrado
311,Filtrado,none,Cerrado
312,Filtrado,none,Cerrado
313,Filtrado,none,Cerrado
314,Filtrado,none,Cerrado
315,Filtrado,none,Cerrado
316,Filtrado,none,Cerrado
317,Filtrado,none,Cerrado
318,Filtrado,none,Cerrado
319,Filtrado,none,Abierto | Filtrado
320,Filtrado,none,Abierto | Filtrado
321,Filtrado,none,Cerrado
322,Filtrado,none,Cerrado
323,Filtrado,none,Cerrado
324,Filtrado,none,Cerrado
325,Filtrado,none,Cerrado
326,Filtrado,none,Cerrado
327,Filtrado,none,Cerrado
328,Filtrado,none,Cerrado
329,Filtrado,none,Cerrado
330,Filtrado,none,Cerrado
331,Filtrado,none,Cerrado
332,Filtrado,none,Cerrado
333,Filtrado,none,Cerrado
334,Filtrado,none,Cerrado
335,Filtrado,none,Cerrado
336,Filtrado,none,Cerrado
337,Filtrado,none,Cerrado
338,Filtrado,none,Cerrado
339,Filtrado,none,Cerrado
340,Filtrado,none,Cerrado
341,Filtrado,none,Cerrado
342,Filtrado,none,Cerrado
343,Filtrado,none,Cerrado
344,Filtrado,none,Cerrado
345,Filtrado,none,Cerrado
346,Filtrado,none,Cerrado
347,Filtrado,none,Cerrado
348,Filtrado,none,Cerrado
349,Filtrado,none,Cerrado
350,Filtrado,none,Cerrado
351,Filtrado,none,Cerrado
352,Filtrado,none,Cerrado
353,Filtrado,none,Cerrado
354,Filtrado,none,Cerrado
